brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,ID,proc
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15,1,No,Yes,39490,55490,28,4.4,634,64,154,154
ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,0,Missing,32,0,Casual,0,0,No,No,23490,29990,21,4.2,632,92,155,155
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,58340,74839,22,4.0,69,6,156,156
ASUS,ROG,AMD,Ryzen 9,Missing,16,DDR4,1024,0,Windows,32,0,Casual,15.6,1,No,No,154990,207990,25,4.6,194,42,157,157
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,55999,75999,26,4.5,6,0,158,158
Lenovo,Legion,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,69990,107690,35,4.3,9,0,159,159
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,44490,58194,23,4.2,14,1,160,160
acer,Travelmate,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,14,0,No,No,55490,60000,7,3.8,8,3,161,161
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,131990,142900,7,4.6,399,45,162,162
MSI,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,48990,49590,1,4.5,17,3,163,163
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,54990,69267,20,4.5,35,3,164,164
HP,15-ec1105AX,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,58990,70172,15,4.5,1049,134,165,165
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,67990,89849,24,4.4,93,9,166,166
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,No,62490,86199,27,3.9,157,20,167,167
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147,168,168
ASUS,VivoBook,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,59990,80990,25,4.5,11,2,169,169
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,39999,59999,33,5.0,4,0,170,170
DELL,Vostro,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,59490,61060,2,4.6,74,18,171,171
HP,Pavilion,AMD,Ryzen 5,Missing,16,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,67500,75049,10,4.4,196,19,172,172
